url,threat_score,risk_level,action,model,timestamp,details
http://evil.com/login.php,0.1,Low,ACCESS ALLOWED,ML + Network Fusion,2026-02-03 12:43:53
https://www.google.com/,0.2,Low,ACCESS ALLOWED,ML + Network Fusion,2026-02-03 13:26:03,"{'url_features': {'url_length': 23, 'dot_count': 2, 'https_present': 1, 'special_chars': 4, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 262, 'asn_risk': 0, 'packet_rate': 389.39266056683994, 'flow_duration': 49.023755921223966, 'domain_age_days': 5}}"
https://www.youtube.com/results?search_query=ctrl+s+company+interview+questions,0.7,Medium,WARNING issued to user,ML + Network Fusion,2026-02-03 13:27:16,"{'url_features': {'url_length': 79, 'dot_count': 2, 'https_present': 1, 'special_chars': 11, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 278, 'asn_risk': 1, 'packet_rate': 746.4576920263215, 'flow_duration': 56.58622870230281, 'domain_age_days': 1748}}"
https://vce.ac.in/placements/2021-2022.php,0.5,Medium,WARNING issued to user,ML + Network Fusion,2026-02-03 13:27:47,"{'url_features': {'url_length': 42, 'dot_count': 3, 'https_present': 1, 'special_chars': 6, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 100, 'asn_risk': 1, 'packet_rate': 701.6572507957842, 'flow_duration': 29.152381061694463, 'domain_age_days': 475}}"
https://www.sfnmjournal.com,0.3,Low,ACCESS ALLOWED,ML + Network Fusion,2026-02-03 13:29:56,"{'url_features': {'url_length': 27, 'dot_count': 2, 'https_present': 1, 'special_chars': 3, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 68, 'asn_risk': 1, 'packet_rate': 491.8780828798874, 'flow_duration': 19.506015433287264, 'domain_age_days': 641}}"
https://vce.ac.in/,0.0,Low,ACCESS ALLOWED,ML + Network Fusion,2026-02-03 13:30:26,"{'url_features': {'url_length': 18, 'dot_count': 2, 'https_present': 1, 'special_chars': 4, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 205, 'asn_risk': 0, 'packet_rate': 716.6413650679434, 'flow_duration': 29.55341106594645, 'domain_age_days': 3826}}"
www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx,0.6000000000000001,Medium,WARNING issued to user,ML + Network Fusion,2026-02-03 13:31:04,"{'url_features': {'url_length': 63, 'dot_count': 4, 'https_present': 0, 'special_chars': 7, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 194, 'asn_risk': 1, 'packet_rate': 825.0745426339101, 'flow_duration': 7.080571568804975, 'domain_age_days': 664}}"
www.thewargamer.com/brog/assassin.htm,0.4,Medium,WARNING issued to user,ML + Network Fusion,2026-02-03 13:32:09,"{'url_features': {'url_length': 37, 'dot_count': 3, 'https_present': 0, 'special_chars': 2, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 195, 'asn_risk': 1, 'packet_rate': 396.638408048357, 'flow_duration': 18.445352231766392, 'domain_age_days': 3974}}"
https://in.search.yahoo.com/search?fr=mcafee&type=E210IN826G91846&p=google+colab,0.7,Medium,WARNING issued to user,ML + Network Fusion,2026-02-03 13:32:41,"{'url_features': {'url_length': 80, 'dot_count': 3, 'https_present': 1, 'special_chars': 11, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 62, 'asn_risk': 1, 'packet_rate': 390.2740501812152, 'flow_duration': 21.896938597301965, 'domain_age_days': 2937}}"
https://vce.ac.in/,0.0,Low,ACCESS ALLOWED,ML + Network Fusion,2026-02-03 13:40:43,"{'url_features': {'url_length': 18, 'dot_count': 2, 'https_present': 1, 'special_chars': 4, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 151, 'asn_risk': 0, 'packet_rate': 295.50425867274026, 'flow_duration': 28.972864179579314, 'domain_age_days': 3399}}"
https://vce.ac.in/,0.0,Low,ACCESS ALLOWED,ML + Network Fusion,2026-02-03 13:44:06,"{'url_features': {'url_length': 18, 'dot_count': 2, 'https_present': 1, 'special_chars': 4, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 148, 'asn_risk': 0, 'packet_rate': 371.9664258217841, 'flow_duration': 49.121204338247665, 'domain_age_days': 1562}}"
https://vce.ac.in/,0.0,Low,ACCESS ALLOWED,ML + Network Fusion,2026-02-03 13:50:34,"{'url_features': {'url_length': 18, 'dot_count': 2, 'https_present': 1, 'special_chars': 4, 'is_ip_address': 0}, 'network_features': {'dns_ttl': 59, 'asn_risk': 0, 'packet_rate': 589.4119832794804, 'flow_duration': 56.189120990859045, 'domain_age_days': 3211}}"
